GUID,ED_ID,ENGLISH,CC_ID,ENGLISH_2,GUID_2,AC
2ae19629-1816-13a3-e055-000000000001,17043,RIDGE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1817-13a3-e055-000000000001,17044,SHANGARRY,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1818-13a3-e055-000000000001,17045,SLIGUFF,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1820-13a3-e055-000000000001,17046,TANKARDSTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1821-13a3-e055-000000000001,17047,TEMPLEPETER,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1822-13a3-e055-000000000001,17048,TIKNOCK,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1823-13a3-e055-000000000001,17049,TINNAHINCH,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1836-13a3-e055-000000000001,17001,AGHA,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1837-13a3-e055-000000000001,17002,BALLINACARRIG,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1840-13a3-e055-000000000001,17003,BALLINTEMPLE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1841-13a3-e055-000000000001,17004,BALLON,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1842-13a3-e055-000000000001,17005,BALLYELLIN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1843-13a3-e055-000000000001,17006,BALLYMOON,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-184d-13a3-e055-000000000001,17007,BALLYMURPHY,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-184e-13a3-e055-000000000001,17008,BORRIS,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-184f-13a3-e055-000000000001,17009,BURTON HALL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1857-13a3-e055-000000000001,17010,CARLOW RURAL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1858-13a3-e055-000000000001,17011,CARLOW URBAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1859-13a3-e055-000000000001,17012,CLOGRENAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-185a-13a3-e055-000000000001,17013,CLONEGALL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1864-13a3-e055-000000000001,17014,CLONMORE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1865-13a3-e055-000000000001,17015,COONOGUE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1866-13a3-e055-000000000001,17016,CORRIES,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1872-13a3-e055-000000000001,17017,CRANEMORE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1873-13a3-e055-000000000001,17018,FENNAGH,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1874-13a3-e055-000000000001,17019,GARRYHILL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-187d-13a3-e055-000000000001,17020,GLYNN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-187e-13a3-e055-000000000001,17021,GRANGEFORD,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-187f-13a3-e055-000000000001,17022,HACKETSTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1887-13a3-e055-000000000001,17023,HAROLDSTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1888-13a3-e055-000000000001,17024,JOHNSTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1889-13a3-e055-000000000001,17025,KELLISTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-188a-13a3-e055-000000000001,17026,KILBRIDE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1895-13a3-e055-000000000001,17027,KILLEDMOND,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1896-13a3-e055-000000000001,17028,KILLERRIG,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1897-13a3-e055-000000000001,17029,KINEAGH,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18a0-13a3-e055-000000000001,17030,KYLE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18a1-13a3-e055-000000000001,17031,LEIGHLINBRIDGE,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18a2-13a3-e055-000000000001,17032,MARLEY,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18ab-13a3-e055-000000000001,17033,MUINEBEAG RURAL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18ac-13a3-e055-000000000001,17034,MUINEBEAG URBAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18ad-13a3-e055-000000000001,17035,MYSHALL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18ae-13a3-e055-000000000001,17036,NURNEY,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18b7-13a3-e055-000000000001,17037,OLDLEIGHLIN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18b8-13a3-e055-000000000001,17038,RAHILL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18b9-13a3-e055-000000000001,17039,RATHANNA,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18c2-13a3-e055-000000000001,17040,RATHORNAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18c3-13a3-e055-000000000001,17041,RATHRUSH,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-18c4-13a3-e055-000000000001,17042,RATHVILLY,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1a55-13a3-e055-000000000001,17050,TULLOW RURAL,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1a56-13a3-e055-000000000001,17051,TULLOW URBAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1a57-13a3-e055-000000000001,17052,TULLOWBEG,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1a58-13a3-e055-000000000001,17053,WILLIAMSTOWN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1a59-13a3-e055-000000000001,17054,GRAIGUE URBAN,15001,CARLOW COUNTY COUNCIL,2ae19629-1492-13a3-e055-000000000001,Carlow County Council
2ae19629-1c98-13a3-e055-000000000001,27004,BAILIEBOROUGH,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c99-13a3-e055-000000000001,27005,BALLINTEMPLE,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c9a-13a3-e055-000000000001,27042,DRUMANESPICK,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c9b-13a3-e055-000000000001,27043,DRUMCARBAN,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c9c-13a3-e055-000000000001,27087,TERMON,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c9d-13a3-e055-000000000001,27088,TIRCAHAN,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1c9e-13a3-e055-000000000001,27089,TUAM,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1ca9-13a3-e055-000000000001,27044,DRUMCARN,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1caa-13a3-e055-000000000001,27045,DRUMLUMMAN,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cab-13a3-e055-000000000001,27046,DRUNG,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cac-13a3-e055-000000000001,27050,GRADDUM,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cad-13a3-e055-000000000001,27051,GRILLY,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cae-13a3-e055-000000000001,27090,TULLYVIN EAST,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1caf-13a3-e055-000000000001,27091,TULLYVIN WEST,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cb9-13a3-e055-000000000001,27047,DUNMAKEEVER,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cba-13a3-e055-000000000001,27048,ENNISKEEN,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cbb-13a3-e055-000000000001,27049,ESKEY,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cbc-13a3-e055-000000000001,27052,KILBRIDE,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cbd-13a3-e055-000000000001,27053,KILCOGY,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cd8-13a3-e055-000000000001,27006,BALLYCONNELL,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cd9-13a3-e055-000000000001,27007,BALLYHAISE,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cda-13a3-e055-000000000001,27054,KILCONNY,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cdb-13a3-e055-000000000001,27055,KILGOLAGH,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cdc-13a3-e055-000000000001,27056,KILL,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cf1-13a3-e055-000000000001,27008,BALLYJAMESDUFF,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cf2-13a3-e055-000000000001,27009,BALLYMACHUGH,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
2ae19629-1cf3-13a3-e055-000000000001,27057,KILLASHANDRA,25001,CAVAN COUNTY COUNCIL,2ae19629-149d-13a3-e055-000000000001,Cavan County Council
