"ED","AC","Report","GUID"
"Killinagh/Teebane, Cavan","Cavan County Council","<a href="".\reports\html\1--csohealthprofile--edname--killinagh-teebane--cavan--acname--cavan-county-council--edguid--06698531-f7f7-4058-a15f-7d455ef0dd94.html"">HTML</a>  <a href="".\reports\pdf\1--csohealthprofile--edname--killinagh-teebane--cavan--acname--cavan-county-council--edguid--06698531-f7f7-4058-a15f-7d455ef0dd94.pdf"">PDF</a>","06698531-f7f7-4058-a15f-7d455ef0dd94"
"Castletown (North), Louth","Louth County Council","<a href="".\reports\html\2--csohealthprofile--edname--castletown--north---louth--acname--louth-county-council--edguid--21a09083-a130-47d2-8690-23338d5ecf18.html"">HTML</a>  <a href="".\reports\pdf\2--csohealthprofile--edname--castletown--north---louth--acname--louth-county-council--edguid--21a09083-a130-47d2-8690-23338d5ecf18.pdf"">PDF</a>","21a09083-a130-47d2-8690-23338d5ecf18"
"Arigna/Drumkeeran/Killarga, Leitrim","Leitrim County Council","<a href="".\reports\html\3--csohealthprofile--edname--arigna-drumkeeran-killarga--leitrim--acname--leitrim-county-council--edguid--23519126-bd85-4c40-a1e2-26c5d2b7e51c.html"">HTML</a>  <a href="".\reports\pdf\3--csohealthprofile--edname--arigna-drumkeeran-killarga--leitrim--acname--leitrim-county-council--edguid--23519126-bd85-4c40-a1e2-26c5d2b7e51c.pdf"">PDF</a>","23519126-bd85-4c40-a1e2-26c5d2b7e51c"
"Derrylea/Derrycunlagh, Galway County","Galway County Council","<a href="".\reports\html\4--csohealthprofile--edname--derrylea-derrycunlagh--galway-county--acname--galway-county-council--edguid--268c20e2-7574-4e64-ac7a-9383e368fcb7.html"">HTML</a>  <a href="".\reports\pdf\4--csohealthprofile--edname--derrylea-derrycunlagh--galway-county--acname--galway-county-council--edguid--268c20e2-7574-4e64-ac7a-9383e368fcb7.pdf"">PDF</a>","268c20e2-7574-4e64-ac7a-9383e368fcb7"
"Ballyadams, Laois","Laois County Council","<a href="".\reports\html\5--csohealthprofile--edname--ballyadams--laois--acname--laois-county-council--edguid--2ae19629-16a1-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\5--csohealthprofile--edname--ballyadams--laois--acname--laois-county-council--edguid--2ae19629-16a1-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a1-13a3-e055-000000000001"
"Ballybrittas, Laois","Laois County Council","<a href="".\reports\html\6--csohealthprofile--edname--ballybrittas--laois--acname--laois-county-council--edguid--2ae19629-16a2-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\6--csohealthprofile--edname--ballybrittas--laois--acname--laois-county-council--edguid--2ae19629-16a2-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a2-13a3-e055-000000000001"
"Ballybrophy, Laois","Laois County Council","<a href="".\reports\html\7--csohealthprofile--edname--ballybrophy--laois--acname--laois-county-council--edguid--2ae19629-16a3-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\7--csohealthprofile--edname--ballybrophy--laois--acname--laois-county-council--edguid--2ae19629-16a3-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a3-13a3-e055-000000000001"
"Ballycarroll, Laois","Laois County Council","<a href="".\reports\html\8--csohealthprofile--edname--ballycarroll--laois--acname--laois-county-council--edguid--2ae19629-16a4-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\8--csohealthprofile--edname--ballycarroll--laois--acname--laois-county-council--edguid--2ae19629-16a4-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a4-13a3-e055-000000000001"
"Ballyfin, Laois","Laois County Council","<a href="".\reports\html\9--csohealthprofile--edname--ballyfin--laois--acname--laois-county-council--edguid--2ae19629-16a5-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\9--csohealthprofile--edname--ballyfin--laois--acname--laois-county-council--edguid--2ae19629-16a5-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a5-13a3-e055-000000000001"
"Ballylehane, Laois","Laois County Council","<a href="".\reports\html\10--csohealthprofile--edname--ballylehane--laois--acname--laois-county-council--edguid--2ae19629-16a6-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\10--csohealthprofile--edname--ballylehane--laois--acname--laois-county-council--edguid--2ae19629-16a6-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a6-13a3-e055-000000000001"
"Ballylynan, Laois","Laois County Council","<a href="".\reports\html\11--csohealthprofile--edname--ballylynan--laois--acname--laois-county-council--edguid--2ae19629-16a7-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\11--csohealthprofile--edname--ballylynan--laois--acname--laois-county-council--edguid--2ae19629-16a7-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a7-13a3-e055-000000000001"
"Abbeyleix, Laois","Laois County Council","<a href="".\reports\html\12--csohealthprofile--edname--abbeyleix--laois--acname--laois-county-council--edguid--2ae19629-16a8-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\12--csohealthprofile--edname--abbeyleix--laois--acname--laois-county-council--edguid--2ae19629-16a8-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a8-13a3-e055-000000000001"
"Aghmacart, Laois","Laois County Council","<a href="".\reports\html\13--csohealthprofile--edname--aghmacart--laois--acname--laois-county-council--edguid--2ae19629-16a9-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\13--csohealthprofile--edname--aghmacart--laois--acname--laois-county-council--edguid--2ae19629-16a9-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16a9-13a3-e055-000000000001"
"Arderin, Laois","Laois County Council","<a href="".\reports\html\14--csohealthprofile--edname--arderin--laois--acname--laois-county-council--edguid--2ae19629-16aa-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\14--csohealthprofile--edname--arderin--laois--acname--laois-county-council--edguid--2ae19629-16aa-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16aa-13a3-e055-000000000001"
"Ardough, Laois","Laois County Council","<a href="".\reports\html\15--csohealthprofile--edname--ardough--laois--acname--laois-county-council--edguid--2ae19629-16ab-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\15--csohealthprofile--edname--ardough--laois--acname--laois-county-council--edguid--2ae19629-16ab-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ab-13a3-e055-000000000001"
